puzzle_id,length,best_init,best_step,total_step
8,12,targeted,0,633
1,16,targeted,0,941
23,17,uniform,98,1634
26,26,targeted,16,971
15,30,targeted,26,973
30,31,targeted,31,742
88,34,uniform,81,1999
41,35,uniform,270,2000
3,36,uniform,696,1135
11,36,targeted,38,1280
57,36,targeted,39,1945
66,36,targeted,103,1395
40,38,uniform,115,1321
65,40,targeted,629,1098
20,42,targeted,181,790
10,45,targeted,480,1479
33,45,uniform,1877,2000
47,50,uniform,298,2000
62,53,uniform,758,1829
27,57,uniform,1433,1652
67,61,targeted,1303,1814
25,62,uniform,1639,2000
44,63,uniform,452,1845
45,63,uniform,206,2000
13,67,targeted,273,1079
18,67,targeted,354,1195
61,67,targeted,64,2000
59,68,uniform,75,2000
72,73,targeted,199,1313
75,75,uniform,1957,2000
52,80,targeted,154,2000
95,82,uniform,1079,2000
43,85,uniform,1132,2000
71,88,uniform,1216,2000
54,92,targeted,1651,2000
34,96,targeted,1738,1911
46,97,uniform,774,2000
87,97,targeted,1742,2000
89,97,targeted,1919,2000
14,98,targeted,147,2000
92,100,targeted,91,2000
5,101,targeted,1023,1724
49,101,uniform,1856,2000
79,101,uniform,1187,2000
31,102,targeted,117,1557
48,102,targeted,1925,2000
55,102,targeted,1535,1955
37,103,uniform,1351,2000
19,104,targeted,1436,1528
24,104,uniform,647,1864
84,104,targeted,1046,1983
16,105,targeted,538,2000
17,105,targeted,248,2000
21,105,targeted,497,2000
29,105,targeted,1275,1556
50,105,targeted,970,2000
60,105,uniform,655,2000
77,105,uniform,1784,2000
64,110,targeted,301,2000
58,111,targeted,1496,2000
2,116,targeted,591,1865
42,116,targeted,205,2000
93,116,targeted,1477,2000
83,119,targeted,487,2000
32,122,targeted,1647,2000
35,123,uniform,1629,2000
36,151,targeted,902,1864
39,174,targeted,1828,1862
70,184,uniform,1857,2000
4,192,targeted,1761,2000
69,200,uniform,1983,2000
98,202,targeted,1161,2000
81,212,uniform,910,2000
12,213,targeted,1374,1409
82,214,uniform,1310,2000
9,258,targeted,1411,2000
68,282,targeted,1893,2000
7,284,targeted,1909,2000
78,284,targeted,1798,2000
38,316,uniform,1981,2000
51,337,targeted,1280,2000
86,355,targeted,1888,2000
96,358,targeted,1771,2000
99,364,uniform,1969,2000
73,370,targeted,1710,2000
28,378,targeted,1943,2000
6,379,targeted,1584,2000
74,380,targeted,1842,2000
100,382,targeted,1894,2000
56,387,targeted,1479,2000
85,389,targeted,1765,2000
94,389,targeted,1626,2000
91,392,targeted,1925,2000
76,393,targeted,1873,2000
80,397,targeted,1997,2000
90,400,targeted,1888,2000
22,400,targeted,1039,2000
97,400,targeted,1604,2000
63,400,targeted,1997,2000
53,400,targeted,1571,2000
