puzzle_id,length,targeted_time,targeted_memory,uniform_time,uniform_memory,both_time,both_memory
8,12,0.0009772222222222222,0.012152,0.0021066666666666664,0.016084,0.003083888888888889,0.016084,
1,16,0.0019080555555555554,0.017764,0.002213333333333333,0.076368,0.004121388888888889,0.076368,
23,17,0.002032222222222222,0.013784,0.003125,0.042772,0.005157222222222222,0.042772,
26,26,0.0031,0.07608,0.0034333333333333334,0.252096,0.006533333333333333,0.252096,
15,30,0.0027861111111111107,0.034144,0.004677777777777778,0.073364,0.007463888888888888,0.073364,
30,31,0.0023116666666666663,0.061172,0.0045361111111111106,0.288372,0.006847777777777777,0.288372,
88,34,0.003919444444444444,0.062748,0.006511111111111112,0.185156,0.010430555555555554,0.185156,
41,35,0.004516666666666667,0.046116,0.005772222222222223,0.080352,0.01028888888888889,0.080352,
3,36,0.0039388888888888885,0.217688,0.006555555555555556,0.590804,0.010494444444444445,0.590804,
11,36,0.004852777777777777,0.20606,0.006141666666666667,0.4245,0.010994444444444444,0.4245,
57,36,0.005252777777777778,0.057636,0.005936111111111112,0.104912,0.011188888888888889,0.104912,
66,36,0.004147222222222222,0.07774,0.005897222222222222,0.0981,0.010044444444444443,0.0981,
40,38,0.003408333333333333,0.096584,0.0053527777777777775,0.25242,0.00876111111111111,0.25242,
65,40,0.0038194444444444443,0.110572,0.006530555555555556,0.358912,0.010350000000000002,0.358912,
20,42,0.005102777777777778,0.245688,0.012552777777777777,0.761512,0.017655555555555556,0.761512,
10,45,0.006758333333333333,0.248768,0.011302777777777778,0.61706,0.01806111111111111,0.61706,
33,45,0.0066500000000000005,0.128116,0.012452777777777778,0.424816,0.019102777777777778,0.424816,
47,50,0.004227777777777778,0.095912,0.009569444444444445,0.250592,0.013797222222222223,0.250592,
62,53,0.009469444444444445,0.161096,0.011122222222222223,0.182716,0.020591666666666664,0.182716,
27,57,0.014291666666666668,0.543956,0.03322222222222222,1.265348,0.04751388888888889,1.265348,
67,61,0.008444444444444444,0.382416,0.017119444444444444,1.087904,0.02556388888888889,1.087904,
25,62,0.011288888888888888,0.179036,0.01574722222222222,0.388308,0.02703611111111111,0.388308,
44,63,0.010458333333333333,0.320256,0.021986111111111113,0.997184,0.03244444444444445,0.997184,
45,63,0.02679166666666667,0.615588,0.051111111111111114,1.251152,0.07790277777777778,1.251152,
13,67,0.03202777777777778,0.72576,0.06105555555555556,1.36364,0.09308333333333334,1.36364,
18,67,0.014908333333333334,0.544908,0.03869444444444445,1.266884,0.053602777777777784,1.266884,
